Date,Open,High,Low,Close,Adj Close,Volume
2024-03-16,1.575502,1.869828,1.547414,1.557971,1.557971,2200961
2024-03-17,1.557971,1.744169,1.460397,1.708961,1.708961,1548701
2024-03-18,1.698463,1.795684,1.513707,1.545579,1.545579,1540549
2024-03-19,1.545579,1.623546,1.230230,1.498714,1.498714,2441695
2024-03-20,1.498714,1.963213,1.346340,1.928801,1.928801,3501045
2024-03-21,1.928801,2.540584,1.907045,2.038628,2.038628,6492314
2024-03-22,2.038628,2.632222,1.931277,2.581897,2.581897,4334953
2024-03-23,2.581897,4.019938,2.463131,3.963996,3.963996,22055935
2024-03-24,4.032057,4.747451,3.790984,4.741209,4.741209,14849147
2024-03-25,4.741472,4.747147,3.695842,3.953419,3.953419,8204705
2024-03-26,3.953419,4.384394,3.902399,3.976045,3.976045,5724026
2024-03-27,3.976045,4.600828,3.975146,4.578884,4.578884,6142427
2024-03-28,4.578884,5.716870,4.578884,5.219388,5.219388,10186002
2024-03-29,5.219411,6.306625,5.195879,6.300939,6.300939,9685552
2024-03-30,6.300939,7.111618,6.176438,7.111618,7.111618,10959495
2024-03-31,7.111618,7.123301,5.480382,5.609418,5.609418,10155102
2024-04-01,5.609418,6.457371,4.838745,6.128575,6.128575,12466829
2024-04-02,6.128575,6.210510,4.477833,5.256617,5.256617,8406246
2024-04-03,5.256617,5.828692,4.899738,5.527785,5.527785,5956593
2024-04-04,5.527785,6.307441,5.381201,6.137680,6.137680,4957403
2024-04-05,6.137680,6.198050,5.675763,6.160163,6.160163,4078689
2024-04-06,6.160163,6.167455,5.773066,5.906497,5.906497,3283683
2024-04-07,5.906497,6.025246,5.432101,5.714313,5.714313,3688070
2024-04-08,5.714313,6.391334,5.639183,6.287970,6.287970,3750753
2024-04-09,6.287970,6.731552,6.157947,6.482399,6.482399,6486572
2024-04-10,6.482399,7.471588,6.320072,7.405904,7.405904,7343537
2024-04-11,7.405904,7.565844,6.922620,6.968166,6.968166,5326144
2024-04-12,6.968166,7.045478,4.316772,5.968319,5.968319,20074234
2024-04-13,5.968319,6.226256,4.222380,5.283769,5.283769,8983083
2024-04-14,5.283769,5.532704,4.905267,5.509408,5.509408,4058316
2024-04-15,5.509408,6.037235,4.533202,4.943229,4.943229,5743983
2024-04-16,4.943229,5.098802,4.292652,4.768930,4.768930,5980967
2024-04-17,4.768930,5.204231,4.225315,4.370531,4.370531,3908859
2024-04-18,4.370531,5.196121,4.340566,5.140548,5.140548,3444473
2024-04-19,5.135893,5.357396,4.177455,5.118389,5.118389,5439037
2024-04-20,5.118389,5.481610,5.060420,5.415352,5.415352,2473338
2024-04-21,5.420547,5.553447,5.297998,5.326298,5.326298,2305263
2024-04-22,5.326298,5.650206,5.295306,5.539813,5.539813,2633136
2024-04-23,5.539813,5.640196,5.364812,5.405457,5.405457,2534486
2024-04-24,5.402322,5.460710,4.328735,4.622713,4.622713,4071544
2024-04-25,4.622713,4.690818,3.456946,4.081777,4.081777,8424030
2024-04-26,4.081777,4.122580,3.560048,3.604070,3.604070,3847248
2024-04-27,3.604070,4.259180,3.572649,4.256241,4.256241,3247418
2024-04-28,4.256241,4.593616,3.886778,3.903137,3.903137,2697982
2024-04-29,3.902868,4.462192,3.784732,4.420071,4.420071,3470948
2024-04-30,4.420071,4.425564,2.907052,3.259928,3.259928,6506011
2024-05-01,3.259928,3.320661,2.662818,3.133917,3.133917,6203995
2024-05-02,3.133917,3.322614,2.888134,3.249580,3.249580,3292718
2024-05-03,3.249580,3.305537,2.950524,3.090567,3.090567,4075611
2024-05-04,3.090567,3.173105,2.767450,2.800732,2.800732,3202384
2024-05-05,2.800732,3.141556,2.441947,3.049963,3.049963,4489450
2024-05-06,3.049963,3.167552,2.615434,2.622123,2.622123,3129583
2024-05-07,2.622123,2.749714,2.550134,2.575950,2.575950,2148397
2024-05-08,2.575950,2.989792,2.070393,2.764499,2.764499,6904282
2024-05-09,2.764499,3.016323,2.708958,2.998084,2.998084,2703203
2024-05-10,2.998084,3.036976,2.687535,2.875154,2.875154,2489067
2024-05-11,2.875154,3.305618,2.874437,3.275986,3.275986,2260547
2024-05-12,3.275986,4.354679,3.273693,4.221881,4.221881,3748316
2024-05-13,4.223743,4.237335,3.514417,3.736420,3.736420,3877261
2024-05-14,3.736420,3.772190,3.222712,3.311252,3.311252,1735149
2024-05-15,3.311252,3.961339,3.308007,3.961333,3.961333,2288319
2024-05-16,3.961333,3.978738,3.794322,3.967152,3.967152,1488389
2024-05-17,3.967152,4.437038,3.966884,4.371078,4.371078,1931786
2024-05-18,4.371078,4.714491,4.329164,4.564926,4.564926,1580315
2024-05-19,4.564926,4.609116,4.366796,4.566363,4.566363,1848720
2024-05-20,4.566363,5.036633,4.274907,4.998958,4.998958,2481583
2024-05-21,4.998958,5.251225,4.872969,5.216636,5.216636,2351725
2024-05-22,5.216636,5.234833,4.835276,5.001231,5.001231,1992217
2024-05-23,5.001231,5.338167,4.885727,5.004886,5.004886,1925297
2024-05-24,5.004886,5.073820,4.591264,4.777598,4.777598,1704768
